DName,DType,DN_DT,Jahr,Stromverbrauch(Haushalt)
Calw,Landkreis,Calw (Landkreis),2003,1066
Calw,Landkreis,Calw (Landkreis),2004,1089
Calw,Landkreis,Calw (Landkreis),2005,1152
Calw,Landkreis,Calw (Landkreis),2006,1135
Calw,Landkreis,Calw (Landkreis),2007,1106
Calw,Landkreis,Calw (Landkreis),2008,1095
Calw,Landkreis,Calw (Landkreis),2009,1083
Calw,Landkreis,Calw (Landkreis),2010,1099
Calw,Landkreis,Calw (Landkreis),2011,904
Calw,Landkreis,Calw (Landkreis),2012,886
Calw,Landkreis,Calw (Landkreis),2013,874
Calw,Landkreis,Calw (Landkreis),2014,846
Calw,Landkreis,Calw (Landkreis),2015,864
Calw,Landkreis,Calw (Landkreis),2016,847
Calw,Landkreis,Calw (Landkreis),2017,842
Calw,Landkreis,Calw (Landkreis),2018,817
Calw,Landkreis,Calw (Landkreis),2019,876
Calw,Landkreis,Calw (Landkreis),2020,870
Calw,Landkreis,Calw (Landkreis),2021,916
Calw,Landkreis,Calw (Landkreis),2022,878
Calw,Landkreis,Calw (Landkreis),2023,799
Emmendingen,Landkreis,Emmendingen (Landkreis),1991,825
Emmendingen,Landkreis,Emmendingen (Landkreis),1992,840
Emmendingen,Landkreis,Emmendingen (Landkreis),1993,860
Emmendingen,Landkreis,Emmendingen (Landkreis),1994,850
Emmendingen,Landkreis,Emmendingen (Landkreis),1995,890
Emmendingen,Landkreis,Emmendingen (Landkreis),1996,942
Emmendingen,Landkreis,Emmendingen (Landkreis),1997,917
Emmendingen,Landkreis,Emmendingen (Landkreis),1998,929
Emmendingen,Landkreis,Emmendingen (Landkreis),1999,943
Emmendingen,Landkreis,Emmendingen (Landkreis),2000,936
Emmendingen,Landkreis,Emmendingen (Landkreis),2001,956
Emmendingen,Landkreis,Emmendingen (Landkreis),2002,993
Emmendingen,Landkreis,Emmendingen (Landkreis),2003,1024
Emmendingen,Landkreis,Emmendingen (Landkreis),2004,1052
Emmendingen,Landkreis,Emmendingen (Landkreis),2005,1121
Emmendingen,Landkreis,Emmendingen (Landkreis),2006,1113
Emmendingen,Landkreis,Emmendingen (Landkreis),2007,1092
Emmendingen,Landkreis,Emmendingen (Landkreis),2008,1088
Emmendingen,Landkreis,Emmendingen (Landkreis),2009,1081
Emmendingen,Landkreis,Emmendingen (Landkreis),2010,1107
Emmendingen,Landkreis,Emmendingen (Landkreis),2011,939
Emmendingen,Landkreis,Emmendingen (Landkreis),2012,926
Emmendingen,Landkreis,Emmendingen (Landkreis),2013,913
Emmendingen,Landkreis,Emmendingen (Landkreis),2014,885
Emmendingen,Landkreis,Emmendingen (Landkreis),2015,901
Emmendingen,Landkreis,Emmendingen (Landkreis),2016,886
Emmendingen,Landkreis,Emmendingen (Landkreis),2017,881
Emmendingen,Landkreis,Emmendingen (Landkreis),2018,853
Emmendingen,Landkreis,Emmendingen (Landkreis),2019,915
Emmendingen,Landkreis,Emmendingen (Landkreis),2020,906
Emmendingen,Landkreis,Emmendingen (Landkreis),2021,957
Emmendingen,Landkreis,Emmendingen (Landkreis),2022,921
Emmendingen,Landkreis,Emmendingen (Landkreis),2023,841
Enzkreis,Landkreis,Enzkreis (Landkreis),1991,1051
Enzkreis,Landkreis,Enzkreis (Landkreis),1992,1075
Enzkreis,Landkreis,Enzkreis (Landkreis),1993,1102
Enzkreis,Landkreis,Enzkreis (Landkreis),1994,1089
Enzkreis,Landkreis,Enzkreis (Landkreis),1995,1136
Enzkreis,Landkreis,Enzkreis (Landkreis),1996,1200
Enzkreis,Landkreis,Enzkreis (Landkreis),1997,1166
Enzkreis,Landkreis,Enzkreis (Landkreis),1998,1184
Enzkreis,Landkreis,Enzkreis (Landkreis),1999,1201
Enzkreis,Landkreis,Enzkreis (Landkreis),2000,1192
Enzkreis,Landkreis,Enzkreis (Landkreis),2001,1212
Enzkreis,Landkreis,Enzkreis (Landkreis),2002,1253
Enzkreis,Landkreis,Enzkreis (Landkreis),2003,1290
Enzkreis,Landkreis,Enzkreis (Landkreis),2004,1322
Enzkreis,Landkreis,Enzkreis (Landkreis),2005,1404
Enzkreis,Landkreis,Enzkreis (Landkreis),2006,1389
Enzkreis,Landkreis,Enzkreis (Landkreis),2007,1355
Enzkreis,Landkreis,Enzkreis (Landkreis),2008,1348
Enzkreis,Landkreis,Enzkreis (Landkreis),2009,1333
Enzkreis,Landkreis,Enzkreis (Landkreis),2010,1355
Enzkreis,Landkreis,Enzkreis (Landkreis),2011,1147
Enzkreis,Landkreis,Enzkreis (Landkreis),2012,1130
Enzkreis,Landkreis,Enzkreis (Landkreis),2013,1113
Enzkreis,Landkreis,Enzkreis (Landkreis),2014,1073
Enzkreis,Landkreis,Enzkreis (Landkreis),2015,1090
Enzkreis,Landkreis,Enzkreis (Landkreis),2016,1071
Enzkreis,Landkreis,Enzkreis (Landkreis),2017,1061
Enzkreis,Landkreis,Enzkreis (Landkreis),2018,1026
Enzkreis,Landkreis,Enzkreis (Landkreis),2019,1098
Enzkreis,Landkreis,Enzkreis (Landkreis),2020,1085
Enzkreis,Landkreis,Enzkreis (Landkreis),2021,1141
Enzkreis,Landkreis,Enzkreis (Landkreis),2022,1090
Enzkreis,Landkreis,Enzkreis (Landkreis),2023,991
Esslingen,Landkreis,Esslingen (Landkreis),1991,2844
Esslingen,Landkreis,Esslingen (Landkreis),1992,2886
Esslingen,Landkreis,Esslingen (Landkreis),1993,2930
Esslingen,Landkreis,Esslingen (Landkreis),1994,2874
Esslingen,Landkreis,Esslingen (Landkreis),1995,2980
Esslingen,Landkreis,Esslingen (Landkreis),1996,3149
Esslingen,Landkreis,Esslingen (Landkreis),1997,3048
Esslingen,Landkreis,Esslingen (Landkreis),1998,3082
Esslingen,Landkreis,Esslingen (Landkreis),1999,3121
Esslingen,Landkreis,Esslingen (Landkreis),2000,3094
Esslingen,Landkreis,Esslingen (Landkreis),2001,3158
Esslingen,Landkreis,Esslingen (Landkreis),2002,3276
Esslingen,Landkreis,Esslingen (Landkreis),2003,3376
Esslingen,Landkreis,Esslingen (Landkreis),2004,3458
Esslingen,Landkreis,Esslingen (Landkreis),2005,3677
Esslingen,Landkreis,Esslingen (Landkreis),2006,3640
Esslingen,Landkreis,Esslingen (Landkreis),2007,3566
Esslingen,Landkreis,Esslingen (Landkreis),2008,3551
Esslingen,Landkreis,Esslingen (Landkreis),2009,3522
Esslingen,Landkreis,Esslingen (Landkreis),2010,3599
Esslingen,Landkreis,Esslingen (Landkreis),2011,3025
Esslingen,Landkreis,Esslingen (Landkreis),2012,2990
Esslingen,Landkreis,Esslingen (Landkreis),2013,2956
Esslingen,Landkreis,Esslingen (Landkreis),2014,2863
Esslingen,Landkreis,Esslingen (Landkreis),2015,2914
Esslingen,Landkreis,Esslingen (Landkreis),2016,2871
Esslingen,Landkreis,Esslingen (Landkreis),2017,2849
Esslingen,Landkreis,Esslingen (Landkreis),2018,2755
Esslingen,Landkreis,Esslingen (Landkreis),2019,2943
Esslingen,Landkreis,Esslingen (Landkreis),2020,2898
Esslingen,Landkreis,Esslingen (Landkreis),2021,3040
Esslingen,Landkreis,Esslingen (Landkreis),2022,2923
Esslingen,Landkreis,Esslingen (Landkreis),2023,2659
Freiburg im Breisgau,kreisfreie Stadt,Freiburg im Breisgau (kreisfreie Stadt),1991,1134
Freiburg im Breisgau,kreisfreie Stadt,Freiburg im Breisgau (kreisfreie Stadt),1992,1151
Freiburg im Breisgau,kreisfreie Stadt,Freiburg im Breisgau (kreisfreie Stadt),1993,1178
Freiburg im Breisgau,kreisfreie Stadt,Freiburg im Breisgau (kreisfreie Stadt),1994,1165
Freiburg im Breisgau,kreisfreie Stadt,Freiburg im Breisgau (kreisfreie Stadt),1995,1212
Freiburg im Breisgau,kreisfreie Stadt,Freiburg im Breisgau (kreisfreie Stadt),1996,1281
Freiburg im Breisgau,kreisfreie Stadt,Freiburg im Breisgau (kreisfreie Stadt),1997,1239
Freiburg im Breisgau,kreisfreie Stadt,Freiburg im Breisgau (kreisfreie Stadt),1998,1252
Freiburg im Breisgau,kreisfreie Stadt,Freiburg im Breisgau (kreisfreie Stadt),1999,1269
Freiburg im Breisgau,kreisfreie Stadt,Freiburg im Breisgau (kreisfreie Stadt),2000,1268
Freiburg im Breisgau,kreisfreie Stadt,Freiburg im Breisgau (kreisfreie Stadt),2001,1302
Freiburg im Breisgau,kreisfreie Stadt,Freiburg im Breisgau (kreisfreie Stadt),2002,1352
Freiburg im Breisgau,kreisfreie Stadt,Freiburg im Breisgau (kreisfreie Stadt),2003,1402
Freiburg im Breisgau,kreisfreie Stadt,Freiburg im Breisgau (kreisfreie Stadt),2004,1442
Freiburg im Breisgau,kreisfreie Stadt,Freiburg im Breisgau (kreisfreie Stadt),2005,1544
Freiburg im Breisgau,kreisfreie Stadt,Freiburg im Breisgau (kreisfreie Stadt),2006,1540
Freiburg im Breisgau,kreisfreie Stadt,Freiburg im Breisgau (kreisfreie Stadt),2007,1521
Freiburg im Breisgau,kreisfreie Stadt,Freiburg im Breisgau (kreisfreie Stadt),2008,1516
Freiburg im Breisgau,kreisfreie Stadt,Freiburg im Breisgau (kreisfreie Stadt),2009,1520
Freiburg im Breisgau,kreisfreie Stadt,Freiburg im Breisgau (kreisfreie Stadt),2010,1567
Freiburg im Breisgau,kreisfreie Stadt,Freiburg im Breisgau (kreisfreie Stadt),2011,1283
Freiburg im Breisgau,kreisfreie Stadt,Freiburg im Breisgau (kreisfreie Stadt),2012,1282
Freiburg im Breisgau,kreisfreie Stadt,Freiburg im Breisgau (kreisfreie Stadt),2013,1271
Freiburg im Breisgau,kreisfreie Stadt,Freiburg im Breisgau (kreisfreie Stadt),2014,1231
Freiburg im Breisgau,kreisfreie Stadt,Freiburg im Breisgau (kreisfreie Stadt),2015,1259
Freiburg im Breisgau,kreisfreie Stadt,Freiburg im Breisgau (kreisfreie Stadt),2016,1236
Freiburg im Breisgau,kreisfreie Stadt,Freiburg im Breisgau (kreisfreie Stadt),2017,1229
Freiburg im Breisgau,kreisfreie Stadt,Freiburg im Breisgau (kreisfreie Stadt),2018,1188
Freiburg im Breisgau,kreisfreie Stadt,Freiburg im Breisgau (kreisfreie Stadt),2019,1272
Freiburg im Breisgau,kreisfreie Stadt,Freiburg im Breisgau (kreisfreie Stadt),2020,1254
Freiburg im Breisgau,kreisfreie Stadt,Freiburg im Breisgau (kreisfreie Stadt),2021,1322
Freiburg im Breisgau,kreisfreie Stadt,Freiburg im Breisgau (kreisfreie Stadt),2022,1288
Freiburg im Breisgau,kreisfreie Stadt,Freiburg im Breisgau (kreisfreie Stadt),2023,1172
Freudenstadt,Landkreis,Freudenstadt (Landkreis),1991,656
Freudenstadt,Landkreis,Freudenstadt (Landkreis),1992,675
Freudenstadt,Landkreis,Freudenstadt (Landkreis),1993,719
Freudenstadt,Landkreis,Freudenstadt (Landkreis),1994,705
Freudenstadt,Landkreis,Freudenstadt (Landkreis),1995,725
Freudenstadt,Landkreis,Freudenstadt (Landkreis),1996,762
Freudenstadt,Landkreis,Freudenstadt (Landkreis),1997,739
Freudenstadt,Landkreis,Freudenstadt (Landkreis),1998,749
Freudenstadt,Landkreis,Freudenstadt (Landkreis),1999,759
Freudenstadt,Landkreis,Freudenstadt (Landkreis),2000,747
Freudenstadt,Landkreis,Freudenstadt (Landkreis),2001,761
Freudenstadt,Landkreis,Freudenstadt (Landkreis),2002,786
Freudenstadt,Landkreis,Freudenstadt (Landkreis),2003,808
Freudenstadt,Landkreis,Freudenstadt (Landkreis),2004,825
Freudenstadt,Landkreis,Freudenstadt (Landkreis),2005,876
Freudenstadt,Landkreis,Freudenstadt (Landkreis),2006,866
Freudenstadt,Landkreis,Freudenstadt (Landkreis),2007,845
