DName,DType,DN_DT,Jahr,Stromverbrauch(Industrie)
Karlsruhe,kreisfreie Stadt,Karlsruhe (kreisfreie Stadt),2012,5220
Karlsruhe,Landkreis,Karlsruhe (Landkreis),2012,2806
Rastatt,Landkreis,Rastatt (Landkreis),2012,4134
Heidelberg,kreisfreie Stadt,Heidelberg (kreisfreie Stadt),2012,479
Mannheim,kreisfreie Stadt,Mannheim (kreisfreie Stadt),2012,5275
Neckar-Odenwald-Kreis,Landkreis,Neckar-Odenwald-Kreis (Landkreis),2012,855
Rhein-Neckar-Kreis,Landkreis,Rhein-Neckar-Kreis (Landkreis),2012,3285
Pforzheim,kreisfreie Stadt,Pforzheim (kreisfreie Stadt),2012,696
Calw,Landkreis,Calw (Landkreis),2012,709
Enzkreis,Landkreis,Enzkreis (Landkreis),2012,1540
Freudenstadt,Landkreis,Freudenstadt (Landkreis),2012,1306
Freiburg im Breisgau,kreisfreie Stadt,Freiburg im Breisgau (kreisfreie Stadt),2012,1007
Breisgau-Hochschwarzwald,Landkreis,Breisgau-Hochschwarzwald (Landkreis),2012,1647
Emmendingen,Landkreis,Emmendingen (Landkreis),2012,796
Ortenaukreis,Landkreis,Ortenaukreis (Landkreis),2012,8540
Rottweil,Landkreis,Rottweil (Landkreis),2012,1673
Schwarzwald-Baar-Kreis,Landkreis,Schwarzwald-Baar-Kreis (Landkreis),2012,1673
Tuttlingen,Landkreis,Tuttlingen (Landkreis),2012,1786
Konstanz,Landkreis,Konstanz (Landkreis),2012,2016
Lörrach,Landkreis,Lörrach (Landkreis),2012,2361
Waldshut,Landkreis,Waldshut (Landkreis),2012,1502
Reutlingen,Landkreis,Reutlingen (Landkreis),2012,2307
Tübingen,Landkreis,Tübingen (Landkreis),2012,717
Zollernalbkreis,Landkreis,Zollernalbkreis (Landkreis),2012,1480
Ulm,kreisfreie Stadt,Ulm (kreisfreie Stadt),2012,1022
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2012,3417
Biberach,Landkreis,Biberach (Landkreis),2012,2061
Bodenseekreis,Landkreis,Bodenseekreis (Landkreis),2012,1780
Ravensburg,Landkreis,Ravensburg (Landkreis),2012,2652
Sigmaringen,Landkreis,Sigmaringen (Landkreis),2012,950
Stuttgart,kreisfreie Stadt,Stuttgart (kreisfreie Stadt),2011,4216
Böblingen,Landkreis,Böblingen (Landkreis),2011,3297
Esslingen,Landkreis,Esslingen (Landkreis),2011,4510
Göppingen,Landkreis,Göppingen (Landkreis),2011,1653
Ludwigsburg,Landkreis,Ludwigsburg (Landkreis),2011,3188
Rems-Murr-Kreis,Landkreis,Rems-Murr-Kreis (Landkreis),2011,4979
Heilbronn,kreisfreie Stadt,Heilbronn (kreisfreie Stadt),2011,1123
Heilbronn,Landkreis,Heilbronn (Landkreis),2011,3883
Hohenlohekreis,Landkreis,Hohenlohekreis (Landkreis),2011,1167
Schwäbisch Hall,Landkreis,Schwäbisch Hall (Landkreis),2011,1828
Main-Tauber-Kreis,Landkreis,Main-Tauber-Kreis (Landkreis),2011,1067
Heidenheim,Landkreis,Heidenheim (Landkreis),2011,1744
Ostalbkreis,Landkreis,Ostalbkreis (Landkreis),2011,4587
Baden-Baden,kreisfreie Stadt,Baden-Baden (kreisfreie Stadt),2011,137
Karlsruhe,kreisfreie Stadt,Karlsruhe (kreisfreie Stadt),2011,5427
Karlsruhe,Landkreis,Karlsruhe (Landkreis),2011,3023
Rastatt,Landkreis,Rastatt (Landkreis),2011,4147
Heidelberg,kreisfreie Stadt,Heidelberg (kreisfreie Stadt),2011,493
Mannheim,kreisfreie Stadt,Mannheim (kreisfreie Stadt),2011,5284
Neckar-Odenwald-Kreis,Landkreis,Neckar-Odenwald-Kreis (Landkreis),2011,878
Rhein-Neckar-Kreis,Landkreis,Rhein-Neckar-Kreis (Landkreis),2011,3467
Pforzheim,kreisfreie Stadt,Pforzheim (kreisfreie Stadt),2011,700
Calw,Landkreis,Calw (Landkreis),2011,708
Enzkreis,Landkreis,Enzkreis (Landkreis),2011,1545
Freudenstadt,Landkreis,Freudenstadt (Landkreis),2011,1308
Freiburg im Breisgau,kreisfreie Stadt,Freiburg im Breisgau (kreisfreie Stadt),2011,977
Breisgau-Hochschwarzwald,Landkreis,Breisgau-Hochschwarzwald (Landkreis),2011,1680
Emmendingen,Landkreis,Emmendingen (Landkreis),2011,817
Ortenaukreis,Landkreis,Ortenaukreis (Landkreis),2011,8976
Rottweil,Landkreis,Rottweil (Landkreis),2011,1675
Schwarzwald-Baar-Kreis,Landkreis,Schwarzwald-Baar-Kreis (Landkreis),2011,1703
Tuttlingen,Landkreis,Tuttlingen (Landkreis),2011,1776
Konstanz,Landkreis,Konstanz (Landkreis),2011,2151
Lörrach,Landkreis,Lörrach (Landkreis),2011,2587
Waldshut,Landkreis,Waldshut (Landkreis),2011,2939
Reutlingen,Landkreis,Reutlingen (Landkreis),2011,2263
Tübingen,Landkreis,Tübingen (Landkreis),2011,699
Zollernalbkreis,Landkreis,Zollernalbkreis (Landkreis),2011,1512
Ulm,kreisfreie Stadt,Ulm (kreisfreie Stadt),2011,1043
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2011,3409
Biberach,Landkreis,Biberach (Landkreis),2011,1982
Bodenseekreis,Landkreis,Bodenseekreis (Landkreis),2011,1826
Ravensburg,Landkreis,Ravensburg (Landkreis),2011,2587
Sigmaringen,Landkreis,Sigmaringen (Landkreis),2011,954
Stuttgart,kreisfreie Stadt,Stuttgart (kreisfreie Stadt),2010,4155
Böblingen,Landkreis,Böblingen (Landkreis),2010,3264
Esslingen,Landkreis,Esslingen (Landkreis),2010,5923
Göppingen,Landkreis,Göppingen (Landkreis),2010,1551
Ludwigsburg,Landkreis,Ludwigsburg (Landkreis),2010,3052
Rems-Murr-Kreis,Landkreis,Rems-Murr-Kreis (Landkreis),2010,3784
Heilbronn,kreisfreie Stadt,Heilbronn (kreisfreie Stadt),2010,1014
Heilbronn,Landkreis,Heilbronn (Landkreis),2010,3636
Hohenlohekreis,Landkreis,Hohenlohekreis (Landkreis),2010,1055
Schwäbisch Hall,Landkreis,Schwäbisch Hall (Landkreis),2010,1828
Main-Tauber-Kreis,Landkreis,Main-Tauber-Kreis (Landkreis),2010,1000
Heidenheim,Landkreis,Heidenheim (Landkreis),2010,1768
Ostalbkreis,Landkreis,Ostalbkreis (Landkreis),2010,4201
Baden-Baden,kreisfreie Stadt,Baden-Baden (kreisfreie Stadt),2010,127
Karlsruhe,kreisfreie Stadt,Karlsruhe (kreisfreie Stadt),2010,5820
Karlsruhe,Landkreis,Karlsruhe (Landkreis),2010,2981
Rastatt,Landkreis,Rastatt (Landkreis),2010,4303
Heidelberg,kreisfreie Stadt,Heidelberg (kreisfreie Stadt),2010,506
Mannheim,kreisfreie Stadt,Mannheim (kreisfreie Stadt),2010,5049
Neckar-Odenwald-Kreis,Landkreis,Neckar-Odenwald-Kreis (Landkreis),2010,845
Rhein-Neckar-Kreis,Landkreis,Rhein-Neckar-Kreis (Landkreis),2010,3356
Pforzheim,kreisfreie Stadt,Pforzheim (kreisfreie Stadt),2010,672
Calw,Landkreis,Calw (Landkreis),2010,681
Enzkreis,Landkreis,Enzkreis (Landkreis),2010,1445
Freudenstadt,Landkreis,Freudenstadt (Landkreis),2010,1370
Freiburg im Breisgau,kreisfreie Stadt,Freiburg im Breisgau (kreisfreie Stadt),2010,985
Breisgau-Hochschwarzwald,Landkreis,Breisgau-Hochschwarzwald (Landkreis),2010,1688
Emmendingen,Landkreis,Emmendingen (Landkreis),2010,794
Ortenaukreis,Landkreis,Ortenaukreis (Landkreis),2010,8566
Rottweil,Landkreis,Rottweil (Landkreis),2010,1637
Schwarzwald-Baar-Kreis,Landkreis,Schwarzwald-Baar-Kreis (Landkreis),2010,1594
Tuttlingen,Landkreis,Tuttlingen (Landkreis),2010,1600
Konstanz,Landkreis,Konstanz (Landkreis),2010,2031
Lörrach,Landkreis,Lörrach (Landkreis),2010,2585
Waldshut,Landkreis,Waldshut (Landkreis),2010,3100
Reutlingen,Landkreis,Reutlingen (Landkreis),2010,2189
Tübingen,Landkreis,Tübingen (Landkreis),2010,624
Zollernalbkreis,Landkreis,Zollernalbkreis (Landkreis),2010,1435
Ulm,kreisfreie Stadt,Ulm (kreisfreie Stadt),2010,1022
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2010,3226
Biberach,Landkreis,Biberach (Landkreis),2010,1847
Bodenseekreis,Landkreis,Bodenseekreis (Landkreis),2010,1658
Ravensburg,Landkreis,Ravensburg (Landkreis),2010,2575
Sigmaringen,Landkreis,Sigmaringen (Landkreis),2010,896
Stuttgart,kreisfreie Stadt,Stuttgart (kreisfreie Stadt),2009,3969
Böblingen,Landkreis,Böblingen (Landkreis),2009,3044
Esslingen,Landkreis,Esslingen (Landkreis),2009,3972
Göppingen,Landkreis,Göppingen (Landkreis),2009,1434
Ludwigsburg,Landkreis,Ludwigsburg (Landkreis),2009,2884
Rems-Murr-Kreis,Landkreis,Rems-Murr-Kreis (Landkreis),2009,1707
Heilbronn,kreisfreie Stadt,Heilbronn (kreisfreie Stadt),2009,993
Heilbronn,Landkreis,Heilbronn (Landkreis),2009,3239
Hohenlohekreis,Landkreis,Hohenlohekreis (Landkreis),2009,970
Schwäbisch Hall,Landkreis,Schwäbisch Hall (Landkreis),2009,1677
Main-Tauber-Kreis,Landkreis,Main-Tauber-Kreis (Landkreis),2009,927
Heidenheim,Landkreis,Heidenheim (Landkreis),2009,1683
Ostalbkreis,Landkreis,Ostalbkreis (Landkreis),2009,3954
Baden-Baden,kreisfreie Stadt,Baden-Baden (kreisfreie Stadt),2009,138
Karlsruhe,kreisfreie Stadt,Karlsruhe (kreisfreie Stadt),2009,5793
Karlsruhe,Landkreis,Karlsruhe (Landkreis),2009,3423
Rastatt,Landkreis,Rastatt (Landkreis),2009,3765
Heidelberg,kreisfreie Stadt,Heidelberg (kreisfreie Stadt),2009,444
Mannheim,kreisfreie Stadt,Mannheim (kreisfreie Stadt),2009,4953
Neckar-Odenwald-Kreis,Landkreis,Neckar-Odenwald-Kreis (Landkreis),2009,769
Rhein-Neckar-Kreis,Landkreis,Rhein-Neckar-Kreis (Landkreis),2009,3143
Pforzheim,kreisfreie Stadt,Pforzheim (kreisfreie Stadt),2009,598
Calw,Landkreis,Calw (Landkreis),2009,579
Enzkreis,Landkreis,Enzkreis (Landkreis),2009,1240
Freudenstadt,Landkreis,Freudenstadt (Landkreis),2009,1272
Freiburg im Breisgau,kreisfreie Stadt,Freiburg im Breisgau (kreisfreie Stadt),2009,998
Breisgau-Hochschwarzwald,Landkreis,Breisgau-Hochschwarzwald (Landkreis),2009,1490
Emmendingen,Landkreis,Emmendingen (Landkreis),2009,682
Ortenaukreis,Landkreis,Ortenaukreis (Landkreis),2009,8491
Rottweil,Landkreis,Rottweil (Landkreis),2009,1443
Schwarzwald-Baar-Kreis,Landkreis,Schwarzwald-Baar-Kreis (Landkreis),2009,1328
Tuttlingen,Landkreis,Tuttlingen (Landkreis),2009,1304
Konstanz,Landkreis,Konstanz (Landkreis),2009,1823
Lörrach,Landkreis,Lörrach (Landkreis),2009,2387
Waldshut,Landkreis,Waldshut (Landkreis),2009,2668
Reutlingen,Landkreis,Reutlingen (Landkreis),2009,2080
Tübingen,Landkreis,Tübingen (Landkreis),2009,579
Zollernalbkreis,Landkreis,Zollernalbkreis (Landkreis),2009,1284
Ulm,kreisfreie Stadt,Ulm (kreisfreie Stadt),2009,962
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2009,2879
Biberach,Landkreis,Biberach (Landkreis),2009,1687
Bodenseekreis,Landkreis,Bodenseekreis (Landkreis),2009,1528
Ravensburg,Landkreis,Ravensburg (Landkreis),2009,2486
Sigmaringen,Landkreis,Sigmaringen (Landkreis),2009,833
Stuttgart,kreisfreie Stadt,Stuttgart (kreisfreie Stadt),2008,5291
Böblingen,Landkreis,Böblingen (Landkreis),2008,3323
Esslingen,Landkreis,Esslingen (Landkreis),2008,4666
Göppingen,Landkreis,Göppingen (Landkreis),2008,1789
Ludwigsburg,Landkreis,Ludwigsburg (Landkreis),2008,3474
Rems-Murr-Kreis,Landkreis,Rems-Murr-Kreis (Landkreis),2008,2079
Heilbronn,kreisfreie Stadt,Heilbronn (kreisfreie Stadt),2008,1106
Heilbronn,Landkreis,Heilbronn (Landkreis),2008,3764
